timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1746007614212,24,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,24
1746007614239,1,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614241,2,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,2
1746007614242,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614244,0,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614245,1,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614246,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614247,2,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,2
1746007614249,1,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614250,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614252,1,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614253,1,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614254,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614255,1,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614256,1,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614257,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614258,1,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614259,1,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614260,0,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614261,0,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614261,1,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614262,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614263,1,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614264,1,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614265,0,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614266,0,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614267,0,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614267,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614268,1,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614269,1,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614270,0,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614271,0,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614272,0,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614272,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614273,1,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614274,1,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614275,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614276,0,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614277,0,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614277,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614278,1,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614279,1,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614280,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614281,0,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614282,0,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614282,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614283,0,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614284,0,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614284,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614285,1,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614286,0,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614286,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614287,1,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614288,0,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614289,0,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614290,0,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614290,1,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614291,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614292,0,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614293,0,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614293,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614294,0,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614294,1,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614295,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
1746007614296,0,Neispravna komanda KRAJ 2,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614297,0,TCP Sampler,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,0
1746007614297,1,Neispravna komanda KRAJ 1,500,java.net.ConnectException: Connection refused,Grupa dretvi za kraj 1-1,,false,Response was null,0,0,1,1,null,0,0,1
